month,mean_resale_price
2014-04-01,450964.89210019266
2014-05-01,445058.21138908085
2014-06-01,447155.7710547833
2014-07-01,439310.90162721893
2014-08-01,444436.93754702783
2014-09-01,435485.0705706522
2014-10-01,436794.9314038462
2014-11-01,432018.97252405627
2014-12-01,434619.3182515337
2015-01-01,440380.873504
2015-02-01,437176.41268462205
2015-03-01,430721.8746290801
2015-04-01,430571.017791411
2015-05-01,438964.2648372687
2015-06-01,432134.88686987106
2015-07-01,430615.66860090266
2015-08-01,435895.24706694274
2015-09-01,436274.3577303071
2015-10-01,429304.76652173913
2015-11-01,438207.7482993197
2015-12-01,439320.5431161473
2016-01-01,432097.665625
2016-02-01,437776.37333333335
2016-03-01,439151.4072507553
2016-04-01,437614.54324561404
2016-05-01,443833.904866047
2016-06-01,436473.5090311987
2016-07-01,442621.4529262087
2016-08-01,436982.66153028695
2016-09-01,442499.9772182254
2016-10-01,435499.4183551847
2016-11-01,442465.19858227845
2016-12-01,437475.68124818575
2017-01-01,427506.9848101266
2017-02-01,447398.73456221196
2017-03-01,445029.89694167103
2017-04-01,438629.2722349103
2017-05-01,443789.3212121212
2017-06-01,448502.0360618203
2017-07-01,438739.63033707865
2017-08-01,445079.46530612244
2017-09-01,452715.63333333336
2017-10-01,443583.7658263305
2017-11-01,443040.18478787877
2017-12-01,449859.98738170345
2018-01-01,446379.56623134325
2018-02-01,443147.78360101435
2018-03-01,457069.77033492824
2018-04-01,448189.2339499456
2018-05-01,448849.0189655172
2018-06-01,442732.18329113926
2018-07-01,444896.9440724695
2018-08-01,441601.1750749879
2018-09-01,433734.4224836272
2018-10-01,430989.1576305221
2018-11-01,429925.48177920684
2018-12-01,427750.73647224176
2019-01-01,429810.53612903226
2019-02-01,428894.0966257669
2019-03-01,433256.5438596491
2019-04-01,431445.1550913838
2019-05-01,433599.3990338164
2019-06-01,431988.53768577497
2019-07-01,434089.4914285714
2019-08-01,432779.7465194532
2019-09-01,432455.4672131148
2019-10-01,430003.2615593835
2019-11-01,434429.5716649215
2019-12-01,431583.52705627703
2020-01-01,430529.0041862899
2020-02-01,438946.63335340156
2020-03-01,434557.92823954567
2020-04-01,441208.9926415094
2020-05-01,445865.5096418733
2020-06-01,432101.72800656274
2020-07-01,436486.7788599348
2020-08-01,448181.9995383347
2020-09-01,460068.116841257
2020-10-01,477533.0131850021
2020-11-01,473353.4401378122
2020-12-01,481814.02051488333
2021-01-01,486898.87108791654
2021-02-01,493357.5721666667
2021-03-01,492348.44576340565
2021-04-01,501584.63780540077
2021-05-01,511869.2095043434
2021-06-01,511851.9361424848
2021-07-01,510371.0136103799
2021-08-01,517684.3245710113
2021-09-01,520277.4459459459
2021-10-01,522494.4525810324
2021-11-01,532254.9146063913
2021-12-01,531586.1065235343
2022-01-01,525977.1257125307
2022-02-01,535427.0506596306
2022-03-01,536441.1630238727
2022-04-01,545006.2668788683
2022-05-01,546082.0388857939
2022-06-01,557369.8103044496
2022-07-01,558518.2041507836
2022-08-01,550441.0324296233
2022-09-01,565023.3079906905
2022-10-01,568732.7583656793
2022-11-01,557973.230516432
2022-12-01,549908.4770635631
2023-01-01,558955.8120423363
2023-02-01,552036.0577027763
2023-03-01,566729.1093017128
2023-04-01,573981.427487368
2023-05-01,570255.7888641425
2023-06-01,574439.626551538
2023-07-01,577281.660760234
2023-08-01,577722.656165383
2023-09-01,575099.5567375886
2023-10-01,575576.5390041115
2023-11-01,581286.3526914045
2023-12-01,578642.124251497
2024-01-01,591348.5898512019
2024-02-01,585635.8850117759
2024-03-01,596945.8044379277
2024-04-01,592390.1670886076
2024-05-01,599861.5751004016
2024-06-01,620309.381391064
2024-07-01,616816.8721607379
2024-08-01,621291.9166280865
2024-09-01,629234.9519274377
2024-10-01,629211.700690943
2024-11-01,635358.044382429
2024-12-01,637821.0155221072
2025-01-01,631782.776724138
